Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,51.0,1,15,0,0,1,2630,157,200,1.0
1,42.0,1,28,0,0,1,25700,124,67,0.0
1,63.0,1,28,0,0,1,40583,26,149,1.0
1,34.0,1,28,0,0,1,2630,163,53,1.0
1,33.0,1,15,0,0,1,22772,163,197,1.0
1,23.0,1,6,0,1,1,28530,152,205,0.0
1,62.0,1,41,0,0,1,45422,124,112,1.0
1,21.0,1,8,0,1,1,51398,152,263,1.0
1,21.0,1,8,0,1,1,41736,160,59,0.0
0,27.0,1,28,0,1,1,51429,26,123,1.0
0,21.0,1,2,0,1,0,29111,152,18,0.0
1,43.0,1,8,0,0,1,42123,124,96,0.0
0,21.0,1,47,0,1,1,29225,152,288,0.0
0,25.0,1,34,1,1,0,33950,152,206,0.0
1,62.0,1,20,0,0,1,2630,124,41,0.0
1,43.0,1,24,0,0,1,30665,154,237,1.0
1,40.0,1,28,0,0,1,34322,26,198,0.0
1,40.0,1,30,0,0,1,26817,152,81,1.0
0,28.0,1,33,1,1,0,35438,152,183,0.0
0,21.0,1,46,1,1,0,29508,152,96,0.0
0,28.0,1,18,1,1,0,51522,152,36,0.0
0,29.0,1,28,0,1,1,52617,13,249,0.0
1,67.0,1,28,0,0,1,37577,26,299,0.0
1,34.0,1,19,1,0,0,38939,125,264,0.0
0,49.0,1,41,1,0,0,33987,124,74,0.0
0,78.0,1,8,0,0,1,61321,26,144,0.0
1,24.0,1,8,1,1,0,33114,152,258,0.0
0,24.0,1,28,0,1,1,51830,26,114,0.0
0,54.0,1,28,0,0,1,28925,26,298,1.0
1,52.0,1,41,0,2,1,36548,26,272,1.0
1,25.0,1,28,0,1,1,42773,152,244,1.0
1,58.0,1,28,1,0,0,38030,26,130,0.0
1,45.0,1,3,0,0,1,24907,124,22,1.0
0,23.0,1,37,0,1,1,28886,152,260,1.0
0,23.0,1,30,0,1,1,24595,160,112,1.0
1,50.0,1,28,1,0,0,44470,26,253,0.0
1,38.0,1,15,0,0,1,27722,124,181,1.0
0,48.0,1,41,0,0,1,29817,124,70,1.0
1,50.0,1,46,0,0,1,27385,26,258,1.0
0,25.0,1,41,1,1,0,37507,152,145,0.0
0,26.0,1,3,0,1,1,2630,26,290,1.0
1,24.0,1,50,1,1,0,26072,151,298,0.0
1,22.0,1,30,1,1,0,31821,152,76,0.0
0,25.0,1,33,1,1,0,25362,152,92,0.0
0,42.0,1,8,0,0,1,31224,124,264,1.0
1,23.0,1,8,1,1,0,29946,152,39,0.0
1,52.0,1,28,1,0,1,43067,26,225,0.0
0,33.0,1,27,1,1,0,37997,152,22,0.0
0,23.0,1,27,0,1,1,33207,152,133,1.0
1,37.0,1,41,0,0,1,19995,124,179,1.0
0,23.0,1,14,1,1,0,13557,152,130,0.0
0,49.0,1,36,1,0,0,30096,124,226,0.0
1,52.0,1,41,0,0,1,22201,29,112,0.0
0,26.0,1,41,1,1,0,33339,152,178,0.0
0,27.0,1,28,0,1,1,2630,152,63,0.0
0,41.0,1,28,0,0,1,28201,124,288,1.0
0,34.0,1,28,0,0,1,53709,122,271,1.0
1,43.0,1,15,0,0,1,41275,55,125,1.0
0,24.0,1,10,1,1,0,23795,152,135,0.0
1,55.0,1,28,0,2,1,29769,26,260,1.0
1,22.0,1,28,0,0,1,35653,124,208,1.0
0,24.0,1,28,1,1,1,38460,152,235,0.0
1,22.0,1,8,0,1,1,26655,160,125,0.0
0,24.0,1,36,0,1,0,29449,152,294,0.0
1,23.0,1,10,1,1,0,34601,152,164,0.0
0,23.0,1,44,1,1,0,2630,152,215,0.0
1,27.0,1,28,0,1,0,2630,152,98,0.0
0,43.0,1,11,0,0,1,26573,26,65,1.0
1,45.0,1,47,0,0,1,39658,26,126,1.0
1,46.0,1,48,0,0,1,2630,124,255,0.0
1,46.0,1,28,0,0,1,59494,26,214,1.0
0,30.0,1,18,1,0,0,2630,124,149,0.0
0,21.0,1,36,1,1,0,35531,152,89,0.0
1,46.0,1,28,0,0,1,51159,25,114,1.0
0,72.0,1,28,0,0,1,24425,124,181,0.0
1,20.0,1,30,0,1,1,28088,160,229,0.0
1,70.0,1,2,1,0,0,2630,124,90,0.0
1,21.0,1,46,1,1,0,37901,152,277,0.0
0,40.0,1,11,0,0,1,2630,26,189,0.0
1,38.0,1,28,0,0,1,33325,26,68,0.0
0,29.0,1,10,1,1,0,2630,160,210,0.0
0,47.0,1,46,0,0,1,19635,26,239,1.0
0,69.0,1,28,0,0,1,58079,122,81,0.0
0,54.0,1,28,0,0,1,64764,26,97,0.0
0,72.0,1,15,0,0,1,29509,124,197,1.0
1,46.0,1,8,0,0,1,47168,26,130,1.0
0,33.0,1,11,0,0,1,2630,156,79,1.0
0,54.0,1,28,0,0,1,52453,26,217,1.0
0,40.0,1,29,0,2,1,49324,26,87,1.0
0,27.0,1,15,1,1,0,27856,152,272,0.0
0,24.0,1,17,1,1,0,34565,152,293,0.0
0,38.0,1,28,1,0,0,54938,124,189,0.0
0,41.0,1,45,0,2,1,33199,26,187,1.0
1,51.0,1,8,0,0,0,45989,124,158,0.0
0,29.0,1,30,0,0,1,22205,124,217,1.0
1,73.0,1,4,0,0,1,25214,124,269,1.0
0,23.0,1,36,0,1,1,31994,152,246,0.0
1,25.0,1,41,0,1,1,28619,152,18,1.0
1,35.0,1,20,0,0,1,2630,124,97,1.0
1,44.0,1,41,0,0,1,25398,26,248,1.0
1,22.0,1,18,1,1,0,43479,152,289,0.0
1,63.0,1,24,1,0,0,35485,154,143,0.0
0,37.0,1,28,0,0,1,38077,26,165,1.0
1,56.0,1,6,0,0,1,32158,26,199,0.0
1,44.0,1,46,0,0,1,37366,30,182,1.0
0,20.0,1,35,0,1,1,23875,160,245,0.0
1,20.0,1,28,0,1,1,2630,157,197,0.0
0,63.0,1,8,0,2,1,40088,156,37,0.0
0,35.0,1,28,0,0,1,34745,26,258,0.0
0,42.0,1,2,0,0,1,30885,124,276,1.0
0,31.0,1,30,0,1,1,22337,152,156,1.0
1,33.0,1,41,0,1,1,26629,124,285,1.0
0,51.0,1,8,0,0,1,2630,26,96,1.0
0,27.0,1,28,0,0,1,26836,26,235,1.0
1,24.0,1,41,0,1,1,28029,152,288,1.0
1,26.0,1,8,1,1,0,45486,152,192,0.0
1,24.0,1,8,1,1,0,43336,152,294,0.0
0,47.0,1,10,0,0,1,19244,152,197,0.0
0,39.0,1,30,0,0,1,39413,157,241,1.0
1,38.0,1,28,0,0,1,36255,26,98,1.0
1,26.0,1,28,1,1,0,42092,152,28,0.0
1,56.0,1,26,0,0,1,29333,22,234,0.0
0,25.0,1,30,1,1,0,28513,152,65,0.0
0,39.0,1,28,0,0,1,40714,124,96,1.0
1,25.0,1,18,0,1,1,2630,152,54,0.0
1,22.0,1,28,0,1,1,40282,26,131,0.0
1,59.0,1,27,0,0,1,24670,26,139,1.0
1,46.0,1,18,0,0,1,25954,124,123,1.0
1,44.0,1,3,0,0,1,29364,26,134,1.0
0,21.0,1,49,0,1,1,47121,160,256,1.0
1,59.0,1,14,0,0,1,22486,26,160,1.0
0,30.0,1,28,0,1,1,37385,152,136,1.0
0,29.0,1,21,0,1,1,33453,152,181,0.0
0,30.0,1,49,0,0,1,28747,128,39,0.0
1,23.0,1,36,0,1,1,26192,152,186,1.0
1,33.0,1,28,1,1,0,32072,151,70,0.0
1,63.0,1,23,0,0,1,15060,124,195,1.0
1,48.0,1,38,0,0,1,21500,124,189,1.0
1,23.0,1,11,0,1,0,2630,1,102,0.0
1,41.0,1,28,0,0,1,48137,154,93,1.0
1,42.0,1,41,0,0,1,30609,124,161,0.0
0,36.0,1,28,0,2,1,49318,26,205,1.0
1,26.0,1,6,0,1,1,39051,152,223,0.0
0,43.0,1,33,0,0,1,31637,124,162,0.0
1,34.0,1,28,0,0,0,2630,157,281,1.0
1,50.0,1,28,0,0,1,44940,26,175,0.0
1,20.0,1,28,0,1,1,50188,156,57,0.0
1,34.0,1,28,0,0,1,61260,122,88,1.0
0,54.0,1,8,1,0,0,2630,152,48,0.0
1,24.0,1,36,0,1,1,2630,26,72,0.0
0,28.0,1,21,1,1,0,26714,152,173,0.0
1,21.0,1,10,0,1,1,27787,152,67,0.0
1,47.0,1,8,0,0,1,30433,152,47,1.0
1,26.0,1,28,1,1,0,41713,152,240,0.0
1,30.0,1,28,0,0,1,29326,124,72,1.0
1,25.0,1,50,1,1,0,33963,152,36,0.0
1,27.0,1,41,1,1,0,35929,152,279,0.0
1,25.0,1,10,0,1,1,61396,152,292,1.0
1,56.0,1,38,0,0,0,32731,124,79,1.0
0,60.0,1,28,0,0,1,43694,60,53,1.0
0,33.0,1,28,0,1,1,37056,14,142,1.0
1,24.0,1,11,0,1,1,33108,154,263,0.0
1,26.0,1,28,1,1,0,51455,152,84,0.0
1,77.0,1,19,0,0,1,2630,26,241,0.0
1,47.0,1,48,1,0,0,2630,124,164,0.0
1,39.0,1,28,1,0,1,2630,160,211,0.0
1,29.0,1,15,1,1,0,2630,152,165,0.0
0,58.0,1,28,0,0,1,50117,26,178,1.0
1,50.0,1,28,1,0,0,39714,26,133,0.0
1,45.0,1,28,0,0,1,38876,124,208,1.0
0,41.0,1,46,0,0,0,23364,163,195,1.0
0,53.0,1,28,0,0,1,34063,124,39,1.0
1,69.0,1,28,0,0,1,26561,26,136,1.0
0,59.0,1,46,0,0,1,17517,124,89,1.0
1,54.0,1,46,0,0,1,20991,124,148,1.0
1,25.0,1,28,1,1,0,35963,152,110,0.0
1,40.0,1,18,0,0,1,29350,124,167,1.0
1,53.0,1,20,0,0,1,2630,26,209,1.0
1,43.0,1,28,0,0,1,52570,124,267,1.0
0,50.0,1,32,1,0,0,36665,124,210,0.0
1,40.0,1,28,0,0,1,39187,124,273,1.0
1,38.0,1,28,0,0,1,24937,26,45,1.0
1,35.0,1,30,0,0,1,29804,154,73,1.0
1,36.0,1,11,0,0,1,27753,124,228,1.0
0,50.0,1,18,0,0,0,46891,154,111,1.0
1,50.0,1,48,0,0,1,2630,124,140,1.0
1,48.0,1,28,0,0,1,48587,26,181,1.0
0,75.0,1,8,0,2,1,25341,26,88,1.0
1,22.0,1,41,1,1,0,28170,152,216,0.0
1,20.0,1,50,0,1,1,21507,160,205,1.0
1,75.0,1,33,0,0,1,2630,124,219,0.0
0,23.0,1,11,0,0,1,44757,124,67,1.0
1,60.0,1,28,0,0,1,44315,26,122,0.0
0,54.0,1,28,0,0,0,46116,124,189,1.0
1,49.0,1,28,0,0,1,55803,25,223,1.0
1,30.0,1,44,0,1,1,45102,152,217,0.0
1,63.0,1,28,0,0,1,27455,61,286,0.0
0,43.0,1,37,0,0,1,2630,157,256,1.0
0,46.0,1,28,0,0,1,22930,26,44,1.0
1,21.0,1,3,1,1,0,40511,160,212,0.0
0,38.0,1,28,0,0,1,28613,26,101,1.0
1,55.0,1,28,1,0,0,2630,124,79,0.0
0,70.0,1,28,0,0,1,46057,26,48,1.0
0,24.0,1,8,1,1,0,33857,152,10,0.0
1,22.0,1,30,0,0,1,32792,124,251,1.0
0,47.0,1,28,1,0,0,44303,26,166,0.0
0,20.0,1,44,1,1,0,26797,160,290,0.0
1,67.0,1,28,0,0,1,30305,26,145,0.0
1,26.0,1,28,1,1,0,63600,152,89,0.0
1,31.0,1,10,0,1,1,30954,124,279,1.0
1,52.0,1,28,0,0,1,46985,124,138,1.0
1,43.0,1,46,0,0,1,30814,124,102,1.0
1,50.0,1,28,0,0,1,37482,26,154,1.0
1,42.0,1,39,0,0,1,2630,26,258,1.0
1,29.0,1,33,1,1,0,32451,152,242,0.0
0,27.0,1,6,1,1,0,28622,152,270,0.0
0,39.0,1,18,0,0,1,27178,29,241,1.0
0,24.0,1,50,1,1,0,2630,152,107,0.0
0,29.0,1,14,1,1,0,37859,152,44,0.0
0,31.0,1,21,1,1,0,28751,152,215,0.0
0,50.0,1,28,0,0,1,27509,26,179,1.0
0,53.0,1,28,0,2,1,54803,26,138,1.0
1,33.0,1,45,0,0,1,30115,26,271,1.0
0,21.0,1,33,0,1,1,23199,152,27,0.0
0,35.0,1,28,0,0,1,41900,26,204,0.0
1,49.0,1,28,0,0,1,43057,124,52,0.0
1,35.0,1,50,0,0,1,24264,26,134,1.0
1,37.0,1,10,0,0,1,2630,157,205,1.0
1,42.0,1,0,0,0,1,2630,124,185,1.0
1,26.0,1,27,0,1,1,30061,152,53,0.0
1,44.0,1,28,0,0,1,33561,124,39,1.0
1,24.0,1,46,1,1,0,23266,160,203,0.0
0,24.0,1,29,0,1,0,33397,152,153,0.0
0,29.0,1,46,1,1,0,33682,152,252,0.0
0,22.0,1,39,1,1,0,41437,152,226,0.0
1,51.0,1,41,0,0,1,2630,124,52,1.0
0,58.0,1,47,0,0,1,2630,26,233,1.0
0,24.0,1,50,0,1,1,32416,152,44,0.0
0,47.0,1,28,1,0,0,35629,55,110,0.0
1,25.0,1,8,1,1,0,46004,152,153,0.0
1,52.0,1,6,0,0,1,2630,157,227,0.0
1,60.0,1,28,0,2,1,33468,124,147,1.0
1,51.0,1,8,0,0,1,40121,124,53,1.0
0,21.0,1,28,0,0,1,38114,124,257,1.0
0,22.0,1,34,1,1,0,35067,152,56,0.0
1,56.0,1,18,0,0,1,24183,154,222,1.0
1,25.0,1,35,1,1,0,25505,152,143,0.0
1,51.0,1,39,0,0,1,33389,124,92,1.0
1,77.0,1,28,1,0,0,35423,55,185,0.0
1,50.0,1,41,0,0,1,24722,29,60,1.0
1,43.0,1,28,0,0,1,30599,124,239,0.0
0,44.0,1,28,0,0,1,41062,26,73,1.0
1,24.0,1,5,0,1,1,34605,152,11,0.0
0,64.0,1,28,1,0,0,40752,26,152,0.0
0,23.0,1,18,1,1,0,19874,152,169,0.0
1,42.0,1,8,1,0,0,39921,26,150,0.0
1,22.0,1,15,0,1,1,35099,124,128,1.0
1,41.0,1,8,1,0,0,23078,26,61,0.0
1,42.0,1,28,0,0,1,46185,26,157,0.0
0,27.0,1,24,0,1,0,36036,151,231,0.0
1,30.0,1,46,1,1,1,27272,152,10,0.0
0,23.0,1,16,0,1,0,22372,152,152,0.0
0,44.0,1,28,0,2,1,36567,25,260,1.0
0,34.0,1,28,1,0,0,33683,124,127,0.0
1,54.0,1,8,0,0,1,49923,26,186,1.0
0,23.0,1,45,1,1,0,22130,152,272,0.0
1,65.0,1,35,0,0,1,20291,26,144,1.0
1,54.0,1,28,0,0,1,34058,163,173,1.0
0,51.0,1,46,0,0,1,21304,124,188,1.0
0,56.0,1,45,0,0,1,2630,26,281,1.0
1,54.0,1,28,0,0,1,40584,26,61,0.0
1,49.0,1,30,1,0,0,22511,152,31,0.0
0,27.0,1,24,0,1,1,2630,152,241,0.0
1,39.0,1,28,1,0,1,48364,26,57,0.0
0,39.0,1,28,0,0,1,22779,26,221,1.0
0,46.0,1,28,0,0,1,45686,122,216,1.0
1,24.0,1,41,0,1,1,31445,26,10,1.0
0,43.0,1,28,0,0,1,66252,150,280,1.0
0,28.0,1,11,1,1,0,28500,152,116,0.0
1,23.0,1,15,1,1,0,20898,151,110,0.0
1,24.0,1,3,0,0,1,32103,124,80,1.0
1,39.0,1,43,0,0,1,27425,124,28,1.0
0,31.0,1,0,1,0,0,2630,60,176,0.0
0,70.0,1,28,1,0,0,38103,61,154,0.0
1,60.0,1,15,0,0,1,2630,25,242,0.0
0,52.0,1,24,0,2,1,35092,25,126,1.0
1,36.0,1,25,0,0,1,26257,152,27,0.0
0,54.0,1,28,1,0,0,51628,125,111,0.0
0,54.0,1,28,1,0,0,21662,122,41,0.0
1,39.0,1,23,1,0,0,27438,26,66,0.0
1,44.0,1,8,0,0,1,33760,124,180,0.0
1,31.0,1,8,0,1,1,44659,157,74,1.0
1,23.0,1,28,0,0,1,2630,124,292,0.0
1,39.0,1,14,0,0,1,2630,157,267,1.0
0,42.0,1,28,0,0,1,21744,124,201,1.0
0,52.0,1,28,0,0,1,2630,158,199,1.0
1,21.0,1,36,0,0,1,36844,124,144,1.0
0,51.0,1,33,0,0,1,31454,31,18,1.0
0,55.0,1,28,1,0,0,31688,26,28,0.0
0,51.0,1,28,0,0,1,53501,26,17,1.0
0,37.0,1,28,0,0,1,38976,124,168,0.0
0,46.0,1,12,0,0,1,2630,157,284,0.0
1,30.0,1,28,0,1,1,51429,121,119,1.0
1,61.0,1,49,0,0,1,34168,26,233,1.0
0,63.0,1,28,1,0,0,30353,152,56,0.0
1,47.0,1,28,0,0,1,48904,26,58,1.0
0,39.0,1,35,0,0,1,44151,152,37,1.0
1,60.0,1,28,0,0,1,32666,124,118,0.0
1,31.0,1,12,0,0,1,25736,163,250,1.0
1,48.0,1,8,0,0,1,2630,4,283,1.0
1,40.0,1,15,0,0,1,2630,156,273,0.0
1,23.0,1,7,1,1,0,55255,152,101,0.0
1,50.0,1,28,0,0,1,51213,26,142,1.0
0,26.0,1,5,0,1,1,31420,152,96,1.0
0,28.0,1,8,1,1,0,43128,152,53,0.0
0,24.0,1,36,0,1,1,41419,152,164,0.0
0,23.0,1,10,0,1,1,36917,152,44,0.0
0,23.0,1,2,1,1,0,24881,152,247,0.0
1,64.0,1,28,0,2,1,40324,26,268,1.0
0,32.0,1,28,0,0,1,2630,157,240,1.0
1,51.0,1,8,0,0,1,38189,26,91,1.0
1,69.0,1,50,0,0,1,2630,157,52,1.0
0,31.0,1,10,1,1,0,2630,152,57,0.0
0,22.0,1,6,1,1,0,51658,152,172,0.0
0,24.0,1,15,1,1,1,29099,152,114,0.0
1,47.0,1,8,0,0,1,30050,124,188,1.0
1,23.0,1,46,1,1,0,30287,152,71,0.0
0,24.0,1,9,1,1,0,36837,152,169,0.0
1,39.0,1,29,0,0,1,2630,157,282,1.0
0,35.0,1,34,0,0,1,34744,26,59,0.0
0,42.0,1,28,0,0,1,41677,26,185,1.0
1,48.0,1,46,1,0,0,27426,124,207,0.0
1,40.0,1,46,0,0,1,29541,124,255,1.0
1,41.0,1,28,0,0,1,28833,124,251,1.0
0,24.0,1,48,1,1,0,2630,160,53,0.0
0,21.0,1,8,0,1,1,38852,152,56,0.0
1,36.0,1,28,0,0,1,40232,122,230,1.0
1,20.0,1,1,0,1,0,2630,160,235,0.0
1,56.0,1,29,0,2,1,35498,26,116,1.0
1,55.0,1,41,1,0,0,27608,124,274,0.0
0,22.0,1,21,1,1,0,34345,152,216,0.0
1,53.0,1,28,0,0,1,39379,26,234,1.0
0,78.0,1,46,0,2,1,30593,124,260,1.0
1,28.0,1,28,0,0,1,48730,156,120,1.0
0,39.0,1,28,1,0,0,27133,124,59,0.0
1,50.0,1,8,0,0,1,43927,124,50,1.0
1,42.0,1,27,0,0,1,28853,26,57,1.0
0,29.0,1,6,0,1,1,28628,152,74,1.0
1,47.0,1,28,0,0,1,40815,26,162,1.0
1,45.0,1,9,0,0,1,37243,124,248,0.0
1,42.0,1,28,0,0,1,36879,122,136,1.0
0,59.0,1,8,0,2,1,32325,7,261,0.0
1,42.0,1,30,0,0,1,40153,124,179,0.0
0,23.0,1,34,0,1,1,35647,152,249,0.0
0,24.0,1,8,1,1,0,34899,152,221,0.0
0,51.0,1,28,0,0,1,47863,26,129,1.0
1,41.0,1,7,0,0,1,2630,156,204,1.0
0,23.0,1,37,0,1,1,47276,151,238,0.0
0,55.0,1,14,0,0,1,2630,156,64,1.0
1,44.0,1,23,0,0,1,24102,124,94,1.0
0,26.0,1,45,1,1,0,27106,152,215,0.0
0,35.0,1,18,0,0,1,34321,122,122,1.0
1,48.0,1,48,0,0,1,2630,26,254,0.0
1,37.0,1,46,0,0,1,51680,124,206,1.0
0,24.0,1,47,1,1,0,25064,152,197,0.0
0,37.0,1,1,0,0,1,2630,26,179,1.0
1,57.0,1,28,0,0,0,45994,26,231,0.0
0,27.0,1,41,1,1,0,38597,152,197,0.0
0,52.0,1,15,1,0,0,2630,152,204,0.0
1,30.0,1,28,0,0,1,35105,26,74,1.0
1,25.0,1,46,0,1,1,39448,152,100,1.0
0,41.0,1,28,0,0,1,28801,26,263,0.0
1,49.0,1,43,0,0,1,31381,26,130,1.0
1,24.0,1,8,0,1,1,35434,152,92,0.0
1,45.0,1,28,0,0,1,35906,26,165,0.0
1,59.0,1,41,0,0,1,41736,124,248,1.0
0,22.0,1,46,1,1,0,34191,152,132,0.0
1,45.0,1,0,0,0,1,2630,26,229,0.0
1,26.0,1,29,0,1,1,42884,124,123,1.0
0,24.0,1,32,1,1,0,2630,160,264,0.0
1,66.0,1,28,0,0,1,32915,61,112,0.0
1,42.0,1,28,0,0,1,68184,154,286,1.0
1,23.0,1,18,0,0,0,31010,124,130,0.0
0,36.0,1,9,0,0,1,33686,26,276,0.0
0,59.0,1,8,0,0,1,55797,26,271,1.0
1,63.0,1,11,0,0,1,34773,26,51,1.0
0,47.0,1,28,0,2,1,44582,124,90,1.0
1,22.0,1,47,1,1,0,34306,152,268,0.0
0,25.0,1,15,0,1,1,24774,152,13,0.0
1,58.0,1,8,0,0,1,41334,26,193,0.0
0,22.0,1,30,1,1,0,30421,152,22,0.0
1,25.0,1,12,1,1,0,27908,152,48,0.0
1,41.0,1,8,0,0,1,38873,124,50,1.0
1,29.0,1,8,0,1,1,53823,152,211,0.0
1,45.0,1,18,0,0,1,27538,124,295,1.0
1,52.0,1,17,0,2,1,39533,31,244,0.0
1,32.0,1,28,1,1,0,45809,152,120,0.0
0,23.0,1,13,1,1,0,28140,152,224,0.0
1,39.0,1,28,0,0,1,35109,124,253,1.0
1,55.0,1,28,0,0,1,37554,25,140,1.0
0,24.0,1,11,1,1,0,35502,152,127,0.0
1,66.0,1,43,0,2,1,26943,26,81,1.0
0,25.0,1,32,0,1,1,25602,152,150,1.0
0,24.0,1,13,1,1,0,23423,152,223,0.0
1,56.0,1,28,0,2,1,22485,26,261,0.0
1,32.0,1,35,0,1,1,31467,152,95,1.0
1,34.0,1,41,0,0,1,35962,154,244,1.0
1,42.0,1,28,0,0,1,79604,124,252,1.0
1,43.0,1,20,0,0,1,2630,124,96,1.0
1,59.0,1,28,0,2,1,41313,124,169,0.0
0,35.0,1,41,1,0,0,49792,26,14,0.0
0,45.0,1,28,0,0,1,46488,26,257,1.0
0,41.0,1,28,0,0,1,36956,26,57,1.0
0,45.0,1,28,0,0,1,36248,26,280,0.0
1,34.0,1,28,0,0,1,39548,156,175,0.0
0,28.0,1,28,1,1,1,22549,152,80,0.0
0,39.0,1,28,0,0,0,30595,124,130,1.0
0,29.0,1,46,0,0,1,2630,157,75,0.0
0,35.0,1,28,0,0,1,32815,124,150,1.0
0,43.0,1,28,0,2,1,31199,26,244,1.0
0,27.0,1,28,1,1,0,28250,152,287,0.0
1,52.0,1,30,0,0,0,30049,26,249,0.0
0,23.0,1,28,1,1,0,49272,152,282,0.0
1,44.0,1,28,0,0,1,31201,124,63,1.0
0,23.0,1,47,0,1,0,35338,152,61,0.0
1,50.0,1,28,0,0,1,38038,26,55,1.0
1,53.0,1,28,0,0,1,44127,26,105,1.0
1,36.0,1,47,0,0,1,26968,124,210,1.0
0,42.0,1,8,0,0,1,47722,154,43,0.0
0,26.0,1,41,1,1,0,35935,152,203,0.0
1,42.0,1,41,0,0,1,32476,124,204,1.0
1,24.0,1,3,1,1,0,31430,160,194,0.0
1,24.0,1,14,1,1,0,33959,152,33,0.0
1,57.0,1,26,0,0,1,28676,26,216,1.0
1,22.0,1,37,0,1,1,37344,152,113,0.0
1,42.0,1,29,1,0,0,32025,26,41,0.0
0,25.0,1,29,1,1,0,32378,152,142,0.0
0,80.0,1,41,0,0,1,37183,26,149,0.0
1,41.0,1,3,0,0,1,2630,154,208,1.0
0,45.0,1,7,0,0,1,2630,26,207,1.0
0,52.0,1,35,0,0,1,29409,122,44,1.0
0,71.0,1,50,0,0,1,25140,30,135,0.0
0,43.0,1,8,0,0,0,37136,152,217,0.0
0,20.0,1,34,1,1,0,2630,160,70,0.0
0,66.0,1,28,0,0,0,45952,125,159,1.0
1,30.0,1,50,0,0,1,38601,124,26,1.0
0,45.0,1,28,0,0,1,36300,122,99,1.0
0,51.0,1,48,1,0,0,2630,26,23,0.0
1,59.0,1,28,0,0,1,26929,24,226,1.0
1,34.0,1,6,0,0,1,36576,152,101,1.0
0,52.0,1,8,0,2,1,53107,124,177,1.0
1,24.0,1,35,1,1,0,33174,152,261,0.0
0,50.0,1,45,0,0,1,38114,26,161,1.0
1,26.0,1,50,1,1,0,34554,152,102,0.0
1,41.0,1,14,0,0,1,31399,26,25,0.0
1,21.0,1,16,1,1,1,23235,160,158,0.0
1,44.0,1,28,0,2,1,36297,124,130,1.0
0,55.0,1,36,0,0,0,2630,157,98,1.0
1,37.0,1,8,1,0,0,25596,154,205,0.0
1,80.0,1,28,1,0,0,2630,26,71,0.0
1,42.0,1,28,1,0,0,41996,26,131,0.0
1,48.0,1,28,0,0,1,33672,26,200,1.0
1,75.0,1,46,0,0,1,27653,26,299,0.0
0,42.0,1,43,0,0,1,27476,124,231,0.0
1,44.0,1,28,1,0,0,42230,124,18,0.0
